Metabolite/s,Isotopologue,Simulated value,Experimental Mean,Experimental SD,Chi Square
Glycogen_C1-C6,m0,0.81,0.6428,0.0087,279.495
Glycogen_C1-C6,m1,0.0,0.0006,0.0004,0.004
Glycogen_C1-C6,m2,0.19,0.343,0.0099,233.923
Glycogen_C1-C6,m3,0.0,0.0015,0.0003,0.022
Glycogen_C1-C6,m4,-0.0,0.0108,0.0004,1.164
Glycogen_C1-C6,m5,0.0,0.0003,0.0,0.001
Glycogen_C1-C6,m6,0.0,0.0013,0.0001,0.018

Glycogen_C1-C6,m1/Sm,0.0,0.0017,0.001
Glycogen_C1-C6,m2/Sm,1.0,0.9601,0.0278
Glycogen_C1-C6,m3/Sm,0.0,0.0041,0.001
Glycogen_C1-C6,m4/Sm,-0.0,0.0302,0.0012
Glycogen_C1-C6,m5/Sm,0.0,0.0008,0.0001
Glycogen_C1-C6,m6/Sm,0.0,0.0037,0.0004

Lactate_C1-C3,m0,0.985,0.8132,0.0048,295.103
Lactate_C1-C3,m1,0.0094,0.0022,0.0006,0.529
Lactate_C1-C3,m2,0.0056,0.1888,0.0018,335.813
Lactate_C1-C3,m3,0.0,0.0001,0.0001,0.0


D-Ribose_C1-C5,m0,0.847,0.847,0.0127,0.0
D-Ribose_C1-C5,m1,0.1433,0.052,0.0045,83.338
D-Ribose_C1-C5,m2,0.0091,0.0758,0.0062,44.439
D-Ribose_C1-C5,m3,0.0005,0.0102,0.0005,0.935
D-Ribose_C1-C5,m4,0.0,0.0149,0.0016,2.195
D-Ribose_C1-C5,m5,0.0,0.0002,0.0,0.0

D-Ribose_C1-C5,m1/Sm,0.9367,0.34,0.0294
D-Ribose_C1-C5,m2/Sm,0.0595,0.4951,0.0405
D-Ribose_C1-C5,m3/Sm,0.0035,0.0667,0.0031
D-Ribose_C1-C5,m4/Sm,0.0002,0.097,0.0101
D-Ribose_C1-C5,m5/Sm,0.0,0.0012,0.0002

