variableMetadata	msiLevel	hmdb	chemicalClass
(2-methoxyethoxy)propanoic acid isomer	2		Organi
(gamma)Glu-Leu/Ile	2		AA-pep
1-Methyluric acid	1	HMDB03099	AroHeP:Xenobi
1-Methylxanthine	1	HMDB10738	AroHeP
1,3-Dimethyluric acid	1	HMDB01857	AroHeP
1,7-Dimethyluric acid	1	HMDB11103	AroHeP
2-acetamido-4-methylphenyl acetate	2		AroHoM
2-Aminoadipic acid	1	HMDB00510	AA-pep
2-Hydroxybenzyl alcohol	1	HMDB59709	AroHoM
2-Isopropylmalic acid	1	HMDB00402	Organi
2-Methylhippuric acid	1	HMDB11723	AA-pep:AcyGly
2,2-Dimethylglutaric acid	1		Lipids
3-Hydroxybenzyl alcohol	1	HMDB59712	AroHoM
3-Hydroxyphenylacetic acid	1	HMDB00440	AroHoM
3-Indole carboxylic acid glucuronide	2	HMDB13189	Carboh
3-Methyl-2-oxovaleric acid	1	HMDB00491	Lipids
3-Methylcrotonylglycine	1	HMDB00459	AA-pep:AcyGly
3,3-Dimethylglutaric acid	1	HMDB02441	Lipids
3,4-Dihydroxybenzeneacetic acid	1	HMDB01336	AroHoM
3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid	2		AroHoM
3,7-Dimethyluric acid	1	HMDB01982	AroHeP
4-Acetamidobutanoic acid isomer 2	2		Lipids
4-Acetamidobutanoic acid isomer 3	2		Lipids
4-Hydroxybenzoic acid	1	HMDB00500	AroHoM
4-Methylhippuric acid/3-Methylhippuric acid	1		AA-pep:AcyGly
5-Hydroxyindoleacetic acid	1	HMDB00763	AroHeP
5-Sulfosalicylic acid	1	HMDB11725	AroHoM
6-(2-hydroxyethoxy)-6-oxohexanoic acid	2		Organi
6-(carboxymethoxy)-hexanoic acid	2		Organi
9-Methylxanthine	2	HMDB59716	AroHeP
Acetaminophen glucuronide	1	HMDB10316	Carboh
Acetylphenylalanine	1	HMDB00512	AA-pep
alpha-N-Phenylacetyl-glutamine	1	HMDB06344	AA-pep
Aminosalicyluric acid	2		AA-pep:AcyGly
Asp-Leu/Ile isomer 1	2		AA-pep
Asp-Leu/Ile isomer 2	2		AA-pep
Aspartic acid	1	HMDB00191	AA-pep
Azelaic acid	1	HMDB00784	Organi
Benzoic acid isomer	2		AroHoM
Chenodeoxycholic acid isomer	2		Lipids:Steroi
Cinnamoylglycine	1	HMDB11621	AA-pep:AcyGly
Citric acid	1	HMDB00094	Organi
Dehydroepiandrosterone 3-glucuronide	1	HMDB10348	Lipids:Steroi
Dehydroepiandrosterone sulfate	1	HMDB01032	Lipids:Steroi
Deoxyhexose	1	HMDB00849	Carboh
Dimethylguanosine	2	HMDB04824	Nucleo
FMNH2	2	HMDB01142	AroHeP
Fumaric acid	1	HMDB00134	Lipids
Gentisic acid	1	HMDB00152	AroHoM
Glu-Val	2	HMDB59717	AA-pep
Gluconic acid and/or isomers	2		Carboh
Glucuronic acid and/or isomers	2		Carboh
Glyceric acid	1	HMDB00139	Carboh
Glycocholic acid isomer 2	2		Lipids:Steroi
Glycocholic acid isomer 3	2		Lipids:Steroi
Heptylmalonic acid	2	HMDB59719	Lipids
Hexanoylglycine	1	HMDB00701	AA-pep:AcyGly
Hippuric acid	1	HMDB00714	AA-pep:AcyGly
Hydroxybenzyl alcohol isomer	2		AroHeM
Hydroxyphenyllactic acid	1	HMDB00755	AroHoM
Hydroxysuberic acid isomer 1	2		Organi
Hydroxysuberic acid isomer 2	2		Organi
Isovalerylalanine isomer	2		AA-pep
Ketoleucine	1	HMDB00695	Lipids
Kynurenic acid	1	HMDB00715	AA-pep
Malic acid	1	HMDB00156	Organi
Methoxysalicylic acid isomer	2		AroHoM
