variableMetadata	msiLevel	hmdb	chemicalClass	gender_ttest_M-F_dif	gender_ttest_M-F_fdr	gender_ttest_M-F_sig	gender_OPLSDA_XLOAD-h1	gender_OPLSDA_XLOAD-o1	gender_OPLSDA_VIP_pred	gender_OPLSDA_VIP_ortho	gender_OPLSDA_COEFF
(2-methoxyethoxy)propanoic acid isomer	2		Organi	-0.155000269394578	0.323764778788649	0	-0.0629231482333729	-0.0106578681921491	0.644176403894964	0.199659454473129	-0.0179477929812287
(gamma)Glu-Leu/Ile	2		AA-pep	0.133545985543373	0.00175885260227822	1	0.119757449196811	-0.114197591390804	1.22601816865736	1.11501833480893	0.052902303671276
1-Methyluric acid	1	HMDB03099	AroHeP:Xenobi	0.026049678345422	0.727167328693187	0	0.0580401884855163	-0.18668459107107	0.59418705118375	1.29909060235335	0.00706012193066922
1-Methylxanthine	1	HMDB10738	AroHeP	0.0122904029602404	0.86545714954036	0	0.0457802870110654	-0.163743392689823	0.468676178545472	1.25124771548414	0.00287986210020381
1,3-Dimethyluric acid	1	HMDB01857	AroHeP	0.0380317125866263	0.728490752219743	0	0.0619417839511327	-0.145268965047105	0.634129676545915	0.977670149488149	0.00673585118665721
1,7-Dimethyluric acid	1	HMDB11103	AroHeP	-0.0816380257692773	0.323764778788649	0	0.00321602177090704	-0.143756133059411	0.0329240573206418	1.09838110115389	-0.0182116492538695
2-acetamido-4-methylphenyl acetate	2		AroHoM	-0.185871896669639	0.0390078637644484	1	-0.117545942512656	-0.085316977297524	1.20337784529489	0.628258400512213	-0.0348057705638337
2-Aminoadipic acid	1	HMDB00510	AA-pep	-0.0619694471480727	0.0390078637644484	1	-0.0897211337725939	-0.147460535871994	0.918521067837397	1.10427240455208	-0.0343231205539951
2-Hydroxybenzyl alcohol	1	HMDB59709	AroHoM	-0.0642157802242167	0.493892938114586	0	-0.0265310276810774	-0.0990951036013229	0.271611680010787	0.69703068597789	-0.0128684486468477
2-Isopropylmalic acid	1	HMDB00402	Organi	0.177456127433735	0.0548810070399391	0	0.0929305372671568	-0.120005540777645	0.95137737048309	0.796847440948451	0.0325647310393633
2-Methylhippuric acid	1	HMDB11723	AA-pep:AcyGly	-0.19997626443265	0.0029590065830821	1	-0.166200152983592	-0.0719454878732734	1.70147584603817	0.488403501916531	-0.0504315810274886
2,2-Dimethylglutaric acid	1		Lipids	0.0331951037524094	0.493892938114586	0	0.0220173358253972	-0.0885073869607203	0.225402711300287	0.910620880252181	0.0131510606425336
3-Hydroxybenzyl alcohol	1	HMDB59712	AroHoM	-0.146666681675181	0.16563257821464	0	-0.0727309359617904	-0.0578237774387485	0.744583735798078	0.750764959691574	-0.0248558027475987
3-Hydroxyphenylacetic acid	1	HMDB00440	AroHoM	-0.0787244344097591	0.232246669407913	0	-0.0671868690768632	-0.0627301515093895	0.687826291691183	0.478807004603776	-0.0214185502116562
3-Indole carboxylic acid glucuronide	2	HMDB13189	Carboh	0.0897953261873488	0.266350691693662	0	0.0526403993957739	-0.0433270602435651	0.538906652550156	0.398419383333496	0.0211072621909597
3-Methyl-2-oxovaleric acid	1	HMDB00491	Lipids	0.104657798739759	0.0681790770646561	0	0.0546014582147987	-0.0584863441443364	0.558983013211269	1.15616076142631	0.0310919514182214
3-Methylcrotonylglycine	1	HMDB00459	AA-pep:AcyGly	-0.093752160335181	0.0300560255989004	1	-0.126816864744417	-0.116763669721785	1.29828901092658	0.952430294659145	-0.0364128253699755
3,3-Dimethylglutaric acid	1	HMDB02441	Lipids	-0.0264119394712052	0.564959339157832	0	-0.0379640854323549	-0.108710283604268	0.388657731178252	1.04761005708284	-0.0112517741937685
3,4-Dihydroxybenzeneacetic acid	1	HMDB01336	AroHoM	-0.159994211585301	0.0681790770646561	0	-0.0994678576724457	-0.063817938417832	1.01830325814163	0.772577762546872	-0.0311329307437024
3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid	2		AroHoM	-0.168856806629036	0.00847422558090828	1	-0.110942854855835	-0.0934123110715136	1.13577866469448	0.653600600492383	-0.0437302828967115
3,7-Dimethyluric acid	1	HMDB01982	AroHeP	0.115234758953735	0.397912677311787	0	0.0450312739542251	-0.142442499931642	0.461008149354747	1.12143499165439	0.0159013738582697
4-Acetamidobutanoic acid isomer 2	2		Lipids	-0.00639635431120489	0.851136619032405	0	-0.0168483083703037	-0.155485854278854	0.172484737372682	1.7525698929438	-0.00330727703842402
4-Acetamidobutanoic acid isomer 3	2		Lipids	-0.173798023344699	0.00025215004086728	1	-0.184021226805839	-0.0907978230779515	1.88391928014265	0.924824980226579	-0.0588702046728787
4-Hydroxybenzoic acid	1	HMDB00500	AroHoM	-0.0755555816692777	0.372723845099362	0	-0.0569685114233274	-0.0512306887082397	0.583215745782799	0.472611223022251	-0.0168742606735916
4-Methylhippuric acid/3-Methylhippuric acid	1		AA-pep:AcyGly	0.052166858115422	0.615183249932764	0	0.0152653328528409	-0.0300990564467396	0.156279008560274	0.360485311500883	0.00964929186267553
