dataMatrix	HU_011	HU_014	HU_015	HU_017	HU_018	HU_019	HU_020	HU_021	HU_022	HU_023	HU_024	HU_025	HU_026	HU_027	HU_028	HU_029	HU_030	HU_031	HU_032	HU_033	HU_034	HU_035	HU_036	HU_037	HU_038	HU_039	HU_040	HU_041	HU_042	HU_043	HU_044	HU_045	HU_046	HU_047	HU_048	HU_049	HU_050	HU_051	HU_052	HU_053	HU_054	HU_055	HU_056	HU_057	HU_058	HU_060	HU_061	HU_062	HU_063	HU_064	HU_065	HU_066	HU_067	HU_068	HU_069	HU_070	HU_072	HU_073	HU_074	HU_075	HU_076	HU_077	HU_078	HU_079	HU_080	HU_081	HU_082	HU_083	HU_084	HU_085	HU_086	HU_087	HU_088	HU_089	HU_090	HU_091	HU_092	HU_093	HU_094	HU_095	HU_097	HU_098	HU_099	HU_100	HU_101	HU_102	HU_103	HU_105	HU_106	HU_107	HU_108	HU_109	HU_110	HU_112	HU_113	HU_114	HU_115	HU_116	HU_117	HU_118	HU_119	HU_120	HU_121	HU_122	HU_123	HU_124	HU_125	HU_126	HU_127	HU_129	HU_130	HU_131	HU_132	HU_133	HU_134	HU_135	HU_136	HU_137	HU_138	HU_139	HU_140	HU_142	HU_143	HU_144	HU_145	HU_146	HU_147	HU_148	HU_149	HU_150	HU_152	HU_154	HU_155	HU_156	HU_157	HU_158	HU_159	HU_160	HU_162	HU_163	HU_164	HU_166	HU_167	HU_168	HU_169	HU_170	HU_171	HU_172	HU_173	HU_174	HU_175	HU_177	HU_179	HU_180	HU_181	HU_182	HU_183	HU_184	HU_185	HU_186	HU_187	HU_188	HU_189	HU_190	HU_191	HU_192	HU_193	HU_194	HU_195	HU_196	HU_197	HU_198	HU_199	HU_200	HU_201	HU_202	HU_203	HU_204	HU_205	HU_206	HU_207	HU_208	HU_209
(2-methoxyethoxy)propanoic acid isomer	3.019766011	3.81433889	3.51969148	2.56218265	3.781921607	4.161073524	3.199174022	3.378109516	3.26452758	3.787490017	5.36371403	3.202345706	3.980345369	3.020293232	5.083462878	3.388718935	3.445549982	1.27650453	3.738547491	1.253594534	3.232847813	4.559559002	4.075948481	2.570748216	4.117811641	5.038208548	4.394350472	3.665845239	3.42296993	3.74546685	3.110957103	4.252742233	4.296284046	2.995377877	3.389971588	5.349114655	5.813374487	4.304743135	1.435768568	5.369591232	3.809431106	3.0110849	1.321147859	3.401176446	3.506978677	5.24237122	3.416889621	3.415584225	3.887678774	3.555974489	3.710985751	4.232236312	3.803661779	4.379572071	3.938310455	1.376325833	3.390271579	5.215817481	4.351838419	3.714724817	3.529736242	3.862848205	3.383427403	3.661146136	4.112188079	4.249731699	4.765467314	3.51532253	4.155850086	4.045784307	4.222815204	4.168351191	4.21782555	3.612098315	3.073157836	4.235420499	3.820636952	2.797679916	3.136688731	3.665614604	4.154569098	4.299336631	3.559309507	2.996742676	3.480758857	4.034741661	3.856739467	2.852684744	3.651373844	3.759574346	3.95537384	2.849099312	3.398179811	3.984515153	3.597414226	3.290898684	4.179746804	4.943696911	1.555387577	3.60408986	1.301552667	3.640714337	3.9838544	3.827632696	4.969533288	3.504223072	2.927962237	4.011233932	3.846480069	3.945182011	3.444671991	3.617341684	4.433665852	3.758001601	3.117921102	3.604887175	3.827127682	1.270341972	4.661967452	3.058563173	4.718036674	3.77969937	4.41111843	3.735829951	3.867366105	3.377810236	4.174630078	4.051745447	4.354188592	3.522532268	3.278058138	3.375142493	4.201257373	3.531025311	4.104608416	3.308431289	3.645655442	5.077657223	1.307713092	4.169713633	3.588749002	3.785980907	3.237049946	4.089354447	3.881406873	3.732585337	4.054073292	4.137363308	4.493012079	4.930648019	3.399303204	3.372649157	3.808510752	3.912572116	4.87526109	3.423336878	4.817034951	3.574103433	3.392706279	3.640266302	3.918027353	2.984720403	4.912949546	3.391126097	3.496992454	4.454290676	3.679442656	4.082141098	3.901748493	4.459292151	3.658028576	3.61865837	1.347192548	3.156817506	4.088827883	3.68482537	3.739437875	3.62621039	3.861325975	1.321648909	4.186987285	3.748127215	4.208859398
(gamma)Glu-Leu/Ile	3.888479324	4.277148905	4.195649235	4.323759965	4.629328558	4.412266289	4.175236737	4.635271487	3.847144646	3.871586241	4.417740636	4.328564559	4.02953783	4.152376569	4.292682632	4.531347748	4.453076004	4.6291358	4.113221891	4.150947299	4.124072576	3.901047415	4.024811926	4.181515516	4.181368916	3.876389846	4.704956128	4.21159738	4.336920642	4.38187405	3.899552672	4.061643136	4.379398702	3.828154643	4.197557784	4.015019635	4.401325613	3.802961064	4.191430823	4.033966081	4.629557057	4.036365226	4.074358075	4.298537585	4.137887914	4.081451184	4.144428558	4.474804847	4.241676991	4.079688597	4.45979395	4.312246611	4.350598142	4.237664342	4.527419561	4.124084771	4.514244811	4.64306131	4.271454952	4.36397192	4.576486505	4.237029245	4.513324715	4.270510804	4.421063705	4.458245195	4.627969047	4.509811626	4.056176501	4.422448169	4.366316747	4.490622041	4.159146755	4.536378752	4.383857835	4.510287241	4.167334552	4.174861594	4.601433234	4.567295355	4.112488727	4.449374592	4.330871255	4.472058257	4.195670651	2.547586072	4.22097707	4.163925573	4.241035139	4.473772748	4.686731124	4.432171235	4.16038834	4.451110819	4.494920147	4.634499027	4.219155766	4.107579555	4.445377608	4.349982397	4.075422576	4.31829832	4.382325565	4.41358207	4.4568619	4.366357751	4.656853062	4.497583009	4.520452157	4.45554842	4.126441435	4.044901635	4.288916503	4.515312542	4.23005449	4.376616455	4.177676375	4.371806218	4.386378049	4.554152454	4.403703398	4.330703662	4.406347983	4.486475242	4.131251075	4.651977512	4.402084046	4.361771196	4.152777225	3.943570151	4.297440518	4.279994571	4.097546435	4.610586253	4.260938685	4.308325701	4.193526735	4.352079905	4.140745724	4.571828123	4.304399418	4.207251762	4.289434556	4.472756151	4.184599722	4.269607998	4.542199089	4.28525399	4.372047511	4.271733348	4.709122005	4.570667623	4.645108019	4.023056063	4.285770646	4.244340956	4.097054014	4.329710306	4.048329564	4.300926436	4.394476465	4.229841587	4.640003432	4.510502463	4.49765051	4.676359915	4.311101927	4.346944282	4.390929252	4.369701086	4.400757756	4.264071507	4.424354235	4.346125608	4.716491956	4.439047008	4.522890301	4.464620988	4.535947877	4.340933235	4.279162069	4.523763202	4.675880567
1-Methyluric acid	3.869005757	3.837704025	4.102253758	4.53851996	4.178828862	4.516804994	4.180262737	4.036363075	4.29539342	4.39843134	4.529621208	4.110273903	3.739690888	3.783864332	4.126845744	4.512252909	4.310715632	3.876092627	4.5382435	4.400064971	4.405030617	4.576459192	4.607787677	4.199167663	3.811003723	4.553639696	4.086069055	3.982201933	4.061318954	3.884658556	4.388323909	4.433052936	4.303166583	3.850169946	3.663065812	3.928415194	4.442538201	3.723141617	4.320960083	3.868372811	4.278357531	3.931399948	4.394283723	4.191055566	4.015202218	4.451980882	4.013951422	3.746775861	3.947264897	4.424307688	4.440758471	4.080269187	4.026487851	4.448598045	4.50241562	4.185972984	4.347490309	4.307373715	3.930847424	4.449523817	4.735564676	4.355485393	4.44730007	4.261056169	3.984921096	3.695941443	4.262191156	4.385303993	4.438472061	4.331046708	4.823313661	4.465264163	4.084509398	4.554347486	4.26722868	4.20965944	4.165127819	4.77198565	4.206803554	4.438913725	4.373420662	4.496138427	3.856337995	4.538461252	3.73115281	4.271259447	4.233785487	4.243157325	4.617232016	4.709315012	3.453508227	4.049015989	3.840057964	4.612430619	3.766373797	4.591914026	4.199031236	4.308091252	4.224613455	4.807463081	4.014286513	3.280255087	4.029210425	4.479174189	4.241599707	4.515289394	4.471915472	4.570944429	4.251272306	4.596509423	4.2977884	4.424861011	4.301318819	4.313461316	4.371944102	4.288667814	4.446679482	3.932538017	4.407016342	4.369669037	4.28004355	3.297853384	4.398635009	4.583136658	4.380968695	4.36390834	4.434536613	4.432712941	4.560693661	4.759913511	4.219084518	4.361073776	4.503982338	3.784593694	4.477545231	3.850359954	4.68348388	2.662181085	4.718988601	4.102906315	4.392549368	4.423742606	4.582072605	3.630752653	4.859354755	4.355740885	4.900985415	4.567816307	4.898479707	4.454348708	3.839674974	4.257669308	3.794147563	4.326475355	4.348360167	4.432015659	4.529324069	3.913853716	3.777678946	4.78389024	3.97543424	4.031952376	3.813277842	3.414198616	4.164712015	4.079598029	3.238936288	4.258033235	4.678921556	4.183286887	3.323589951	4.328859696	3.742993009	4.672722618	3.97039066	3.789260832	3.847149987	4.654270418	4.235271882	4.617247195	4.475160306	4.360622075	4.190382227
1-Methylxanthine	3.717258956	3.776851289	4.291665208	4.432216078	4.117359884	4.562051669	4.253087207	3.937694218	4.07128411	4.469453919	4.49764343	4.125096956	4.158616259	3.747657308	4.110164142	4.501070536	4.194719856	3.827925381	4.597539049	4.457819085	4.380920344	4.61981642	4.676615044	4.196067515	3.974259027	4.559835	4.062946123	3.839137596	3.912728389	3.738233471	4.383899236	4.408831223	4.246963978	3.807884374	3.340923823	4.024747325	4.45071532	3.675607889	4.280048842	3.973393044	4.353071085	4.017880056	4.467425724	4.108250444	3.98494054	4.377914817	3.738491158	3.565305684	3.865676726	4.309873284	4.472338053	3.848630923	4.045115345	4.328511452	4.500614773	4.155400977	4.39624587	4.321422633	3.992728016	4.470462089	4.737869502	4.392065917	4.546971152	4.050148879	3.788451056	3.211686468	4.175976015	4.256400205	4.488599419	4.336682808	4.823789899	4.494926636	3.847901256	4.458712813	4.236256907	4.153200985	4.231200685	4.811483812	4.063299933	4.472696463	4.328163572	4.513468938	3.772097818	4.538945508	3.30840287	4.226454037	4.156192857	4.287751671	4.583349551	4.722035141	4.316924553	4.085991725	3.959883467	4.549628588	3.542714311	4.540416704	4.167810843	4.381165428	4.223181752	4.822021587	4.32130313	2.694186083	3.929434012	4.402786086	4.231094166	4.364250731	4.383958629	4.645389513	4.155038069	4.586560661	4.376099254	4.513208105	4.245774401	4.272030227	4.365149093	4.179011675	4.399339843	3.856714699	4.268492041	4.332470507	4.00564268	2.817325291	4.413911031	4.536731659	4.205212138	4.452975667	4.618490572	4.429968084	4.573270407	4.889518527	4.050952184	4.352439712	4.65087298	3.468679301	4.488476532	3.89014596	4.7135781	3.225433772	4.772797873	4.110744482	4.337320441	4.445975513	4.714429798	3.544884608	5.092044037	4.367010672	4.975799887	4.431701776	4.937211032	4.349899864	3.667337583	4.056684453	3.609138436	4.423802223	4.401733884	4.508995674	4.500112742	3.967633245	3.859919235	4.729830725	3.911008167	3.977956628	3.741390882	3.137538537	4.309154588	4.06180723	3.418850577	4.196678738	4.672770748	4.15730105	2.749731915	4.24945651	3.592576776	4.717844658	3.906095974	3.594897645	3.847913791	4.693313202	4.1945088	4.612080805	4.459744366	4.357491415	4.209774566
1,3-Dimethyluric acid	3.535461262	3.932581047	3.955376494	4.228491474	4.005544905	4.320581555	4.013865361	3.666724547	4.570381584	4.686482839	4.442089338	4.00906691	3.198911937	3.702778441	4.059331521	4.719267494	4.35239842	3.638961641	4.340513379	4.415213618	4.143482382	4.554092216	4.841897653	4.018662697	4.11013597	4.435338893	4.173841745	3.500046825	3.910175218	3.776445747	4.211320787	4.677791062	4.456304565	3.842990684	3.596449511	3.90278158	4.391664312	3.32944846	4.104350152	4.13774184	4.291891051	3.966725852	4.331607272	4.400939733	4.138128682	4.544795231	4.077609223	3.489006397	4.111269243	4.30790584	4.403463536	4.154601205	3.966873309	4.462060144	4.623939426	4.283646108	4.435652259	4.28711223	3.946339587	4.415669201	4.712400966	4.281408837	4.58368653	4.168365877	3.575031244	3.551973507	4.444643961	4.646473161	4.293853359	4.397658414	5.002172217	4.606453577	3.981214721	4.662710784	4.300286665	4.198236941	4.07769813	4.655290259	4.465476468	4.394372232	4.285404344	4.411250372	3.798698983	4.61969759	3.436564807	4.335265933	4.093751714	4.204482484	4.90038848	4.775732932	3.140600055	3.78182915	3.756559161	4.847256417	3.409133437	4.651272055	4.324683148	4.42535901	4.155374668	4.854366731	4.408416748	2.419214922	3.729881565	4.669381278	4.165641976	4.523536945	4.630965109	4.737408273	4.320295901	4.798007619	4.307316974	4.41918487	4.436520855	4.403887335	4.468039756	4.243672761	4.286572538	3.950548159	4.514956853	4.667219589	4.140606955	2.431676864	4.390701057	4.593296925	4.392804128	4.440356787	4.695108976	4.370928699	4.833067512	4.666683032	4.162739499	4.64392046	4.322519677	3.430301948	4.487336536	3.875425888	4.910834327	0.599641675	4.760466421	4.162707184	3.569821505	4.540350713	4.494474707	3.536814157	4.771297038	4.38313722	4.745349743	4.604235215	4.873802198	4.630135007	3.868843776	4.514266695	3.404195294	4.334259162	4.292046144	4.30287387	4.397143544	3.753656396	4.498580403	4.77115931	3.530034835	3.71304327	4.246996283	2.77016062	4.070320494	4.079316381	3.567098397	4.536291909	4.61043751	4.338026754	2.486308067	4.324914649	3.484586723	4.790234734	3.675000339	3.729555376	3.809869829	4.753736238	4.379127281	4.815899485	4.451929569	4.229554203	4.146196553
1,7-Dimethyluric acid	3.325198822	4.025125167	3.972904281	4.109927073	4.024092147	4.32685618	4.197503911	3.997385046	4.459222667	4.636227778	4.420607029	3.945387493	4.25456669	4.131751075	4.048240614	4.427084584	4.146700265	3.377914646	4.459927064	4.349967505	4.087973085	4.483969656	4.495590599	3.818919353	4.302240019	4.394897151	4.298906704	3.703873611	3.913014438	3.937758149	4.355411274	4.6474585	4.389388243	3.832382894	3.817644551	4.035339385	4.328021888	3.671127042	4.349959467	4.169638997	4.219619346	4.322466695	4.34171365	4.187333936	4.268704692	4.297634468	4.201335591	3.804794141	4.134833036	4.341790701	4.376674196	4.125612259	3.87228714	4.297557604	4.312266601	4.299669257	4.408604532	4.000500035	4.154798527	4.311867797	4.565385637	4.305788765	4.530812445	4.22891051	3.815321914	3.4441312	4.187325612	4.483070413	4.503241588	4.284143905	4.766331272	4.520393709	3.791837124	4.487740885	4.343909557	4.089572119	3.821966923	4.65797315	4.474110959	4.43532289	4.16504335	4.476002097	3.879963175	4.413856388	3.345885663	4.371999698	4.082776003	4.145991373	4.564423725	4.423733307	3.503519373	3.865595371	4.124190694	4.685241686	3.444237446	4.523257363	4.39260327	4.607290219	4.353793102	4.761828968	4.518176923	2.163307758	4.163861868	4.566116389	3.959585588	4.049110456	4.521903613	4.50678045	4.355648415	4.701394212	4.290950695	4.277043087	4.538649434	4.334818188	4.271792797	4.014470895	4.556842564	3.967742871	4.368406512	4.564251065	3.985579648	2.759871231	4.409372504	4.379120848	4.159415835	4.331086214	4.242505447	4.313252017	4.651901973	4.785003062	3.925523446	4.469381782	4.433972994	3.4169402	4.501501586	4.028060275	4.836630262	3.244070182	4.577253288	4.181600124	4.547534408	2.839126384	4.711853027	4.009473759	4.819487895	4.305366823	4.747031087	4.205072593	4.940625952	4.539526502	3.984691731	4.381926955	3.507204213	4.360509083	4.55150832	4.404508772	4.486945743	3.727156246	4.019582594	4.775668757	3.777262289	4.114762699	4.159060888	2.638533639	4.284002092	3.977698	3.766492496	4.286871561	4.593320506	4.239927223	2.426748206	4.007362269	3.460572841	4.492864092	3.751305227	3.694703177	3.905566729	4.494405047	4.17254668	4.442710028	4.520598632	4.43895914	4.099095764
2-acetamido-4-methylphenyl acetate	4.204754369	5.181858021	3.885679615	4.237914873	1.852994393	4.08068096	4.378655209	3.954104505	4.257704386	3.481900872	4.359334581	4.190780444	4.207212329	4.006990646	4.122870209	3.826902064	4.528368527	4.809730336	5.01538777	4.204697176	3.943419885	4.592455086	4.233076886	2.087977253	3.918253783	3.974957753	3.914812238	4.552178208	4.451459789	4.118236855	4.407493061	4.07387897	4.097586584	4.122564648	4.553495461	3.69674312	4.255931238	4.390154919	4.905184651	3.872156968	4.591283189	4.03586327	4.077002761	4.301386369	2.824425848	4.604272227	4.216319597	4.824775989	4.506770536	4.371755917	4.545632539	4.142422527	3.559730096	4.657566867	4.19246623	4.192391794	4.109052293	3.924438511	4.298091994	4.251218748	4.387445001	4.484052916	4.191487148	4.484741195	4.579868448	3.846091491	4.421678763	4.625427013	4.828889033	4.440887624	4.631682911	4.441164886	4.80656985	3.965987708	4.264889918	4.032613215	4.161369494	4.396891812	4.470114514	3.558332433	3.602714558	4.65406568	4.247915974	4.21470253	3.679898834	4.366544159	4.567982037	4.601002532	4.643655961	2.938055512	2.792946955	4.281278726	4.218627503	4.498343261	3.917366256	4.535112143	4.430967663	4.427217216	4.666577449	4.553871987	4.782272613	4.491546517	4.00023114	4.526811455	4.776329561	4.274720394	4.64895875	4.541337995	4.479996057	4.357458209	3.901187851	3.947001729	4.498837309	4.707525953	4.253546768	4.08453658	4.472385643	4.132050014	4.468058862	3.823215741	4.759228316	4.365270368	4.616853468	4.131956326	4.271961803	3.9079323	3.913860007	3.428155613	4.175638229	2.440543936	4.686472331	4.29531576	4.999270325	4.148608798	4.813925156	4.382689301	4.647067155	4.677953419	4.445722319	4.364495384	3.91633816	4.883832838	4.456177905	4.253328093	4.38928714	3.674417107	4.284504145	4.098569234	4.901800428	4.808331987	4.267059913	4.458888371	3.433280461	4.463491852	4.644050109	4.390649702	4.255130645	4.329093273	4.236368734	3.274905606	5.211479804	4.17802318	4.38755781	3.8939541	3.541473621	4.181840474	3.587742575	3.014278632	4.358245904	4.560378948	4.266306028	4.617655223	4.677735713	4.652596669	4.007108847	3.87593389	3.856115346	4.336053419	3.690396943	4.956675526	5.439831006	4.581057371	2.740433904
2-Aminoadipic acid	4.080203824	4.35924574	4.249110618	4.231404241	4.323679299	4.244484932	4.123676821	4.262412224	4.163466826	4.143000611	4.287074542	4.180458777	4.1594218	4.091647817	4.406471146	4.211600312	4.310607376	4.998189223	4.50111645	4.372088244	4.274448934	4.761239318	4.040922353	4.395299373	4.350773089	4.247528647	4.343348689	4.424388086	4.213386208	4.16223373	4.149022111	4.287490359	3.919010052	4.08476233	4.422012149	4.191709573	4.310697502	4.133889325	4.405931304	3.947185614	4.151500331	4.13567836	4.380458873	4.169295762	4.065228768	4.280539554	4.455652199	4.339999355	4.462118671	4.264785362	4.290890259	4.335997952	4.644885616	4.217126962	4.384343259	4.36058507	4.340773023	4.38335829	4.210965344	4.174439234	4.568349481	4.454956874	4.296990791	4.52671481	4.096754718	4.72245046	4.519578541	4.21091423	4.166382229	4.407948351	4.734350167	4.588259557	4.55547504	4.498365796	4.210377278	4.404159224	4.315613227	4.214565197	4.14803883	4.418738226	4.414545721	4.289342093	4.252080088	4.287176282	4.569559653	4.344858253	4.169117434	4.308331645	4.109202981	4.180070648	4.572879199	4.397143071	4.481817442	4.614158811	4.228295812	4.449162282	4.205797419	4.479857319	4.484869922	4.390072816	4.423985504	4.290078425	4.469676552	4.243668508	4.347302049	4.642942407	4.622160832	4.33527645	4.394745669	4.245996277	4.207045333	4.212462896	4.273611553	4.3315668	4.33624573	4.323785125	4.376502318	4.384982029	4.677595881	4.386377638	4.544411014	4.354096843	4.411129155	4.397893071	4.307591978	4.266146911	4.328884728	4.271774608	4.456988959	4.45762652	4.485017846	4.475255007	4.436700217	4.311810671	4.450521569	4.415196344	4.552559986	4.38616773	4.37475152	4.272854147	4.418854401	4.211057275	4.227996157	4.320237325	4.289287063	4.378445365	4.586721642	4.600102101	4.7176115	4.287556192	4.415612524	4.564363922	4.169629332	4.365700355	4.506519884	4.279765628	4.175661147	4.176404023	4.488150773	4.225008322	4.947737368	4.622446845	4.46916043	4.834765326	4.316873597	4.46109412	4.250900805	4.31868279	4.687598237	4.557094514	4.198296767	4.164133654	4.28794234	4.20965854	4.313946634	4.259804328	4.398241568	4.237182176	4.44449416	4.566543054	4.454333566	4.477071372	4.43878969
2-Hydroxybenzyl alcohol	4.560048648	3.158211998	4.290525486	3.644975587	4.095923132	4.428005291	3.88499543	2.29778171	4.704974715	3.658760562	3.656477698	4.168804205	3.711944592	3.904652936	4.111157534	4.279858699	3.923353919	4.311867641	4.028314927	4.557703567	4.287144157	4.069471989	4.893828836	4.013607577	3.507905893	4.333678863	3.89459861	4.02412563	4.020083362	4.034488459	4.242125384	3.563240594	3.996013737	3.921309113	4.139503394	3.944281095	4.46156869	3.978545611	4.672541048	3.926295988	4.203867112	3.828954417	4.089618139	4.396806624	3.067822773	4.229983809	4.155646675	3.400932219	4.433665419	2.634994356	4.240799527	4.072921786	4.139679903	4.350358684	3.7626697	4.665998376	4.372318256	3.917742285	4.075061875	4.383152906	4.413278189	4.609186357	4.378055554	4.088685263	4.549663466	4.192065438	4.68436394	4.557940768	4.390917367	4.037437456	4.850394393	4.353939636	4.547985133	4.370049098	4.564564956	4.596620322	4.520063507	4.625226353	3.757839127	4.288969955	4.329637216	4.338164487	4.178126136	4.406185041	3.007329748	4.060415841	4.529066532	4.525370963	4.599014588	4.765397486	2.824725457	4.213619898	3.565303799	4.29505462	4.209089394	3.935998869	3.681101751	4.418612724	4.285210851	4.50630078	4.301597631	4.450625575	3.191602378	4.436999415	4.035582593	4.80850997	4.508459046	4.369458293	4.004500442	4.716731628	4.381859325	4.614910359	4.637106597	4.060114275	4.450228765	4.272617759	3.640454361	3.378201177	4.198882214	1.977465551	4.295226139	4.295171134	4.353293385	4.616337784	4.372491233	4.016837996	4.225155776	4.411995661	4.332202094	4.861532898	4.314233983	4.601705143	4.486330554	4.567821018	4.575673556	3.910397416	3.852770568	4.149195035	5.344458036	4.445461616	4.42462981	4.132994954	4.565942657	3.274135467	4.654402543	4.175516272	4.626791699	4.509199498	4.939665842	4.44981347	3.824309322	4.168505625	3.963852297	4.419850134	4.371012521	4.272009562	4.698059237	4.344210176	3.765686265	4.827299705	3.676429585	3.417514191	4.122657655	4.124856321	2.875089837	4.138392274	3.447675466	4.447590759	3.462105504	4.313842945	3.982114746	4.104399648	3.359908159	4.626051268	3.870093037	4.129591957	3.532087016	4.544045928	4.147465065	3.991142461	4.189870376	3.766040725	4.201575095
2-Isopropylmalic acid	3.466915892	3.942746313	3.539600259	3.152084457	4.490115602	4.156566875	3.919985176	3.824098897	4.177213837	3.3844456	4.059153929	4.361120067	3.206617961	3.889866941	3.011189135	4.859806742	4.118075697	4.999192435	3.249595203	3.634741156	5.096587998	4.44855343	4.13923224	2.581143091	4.430137007	3.768505152	4.696166424	3.164801249	3.527828973	3.813924179	4.000036595	3.238868105	4.408431097	3.93479592	3.084878897	3.498853423	4.87973726	2.780197782	3.788743441	3.336824826	3.84435935	2.818999629	4.189967716	4.412636601	4.070540911	4.801183226	4.233796978	4.653738517	4.366911703	4.183739882	4.997714383	3.615954044	3.401716018	3.526549117	4.119038383	4.500387313	4.062024419	4.162840206	3.44622448	3.785973037	3.860028815	3.71449037	4.905836242	3.915342732	3.034086017	4.548200751	4.560199161	4.606279963	3.630274451	4.231277529	3.927293653	3.259768911	4.18460959	3.979968727	3.863120475	5.139586321	3.866847323	4.36501917	4.701745545	3.837659751	3.175484712	4.544247852	4.018089048	3.419662492	3.715483311	4.740375577	4.35244614	3.459696158	4.588552904	4.076238082	4.31827308	3.658062486	3.676050686	4.220905856	3.637527974	3.962733601	3.803317696	3.43834458	5.066575808	3.25812093	3.154525105	3.397809604	3.69446916	4.525503852	3.423843078	4.029514344	3.896920721	4.683480877	4.33900512	4.629673397	4.301504835	4.576005403	4.64053805	3.472172061	3.43463972	3.803074053	3.792908564	3.954036122	4.032096686	4.375847256	3.274796374	3.974972098	4.45191124	4.261829829	4.343466789	4.047214784	5.153651205	4.80632967	3.671289738	3.769872345	3.585447838	4.111962221	3.975529214	3.69600546	3.685840625	4.722091697	4.282435724	4.013156313	3.339737546	3.882687099	3.499164095	3.856764327	3.646046863	4.494961273	4.194740728	4.40772563	5.000085357	3.841394258	5.19536541	3.909236303	4.674248223	4.091861895	3.047766966	3.619307572	4.238540028	3.858539397	4.206177447	3.334717577	4.020591252	4.17037437	3.36012684	4.336168386	3.979004426	3.950026694	4.216565961	4.00814167	3.923565461	4.02819114	4.583162258	3.918460666	4.188141737	3.934739415	3.542028654	3.858110904	3.845868791	3.712030185	3.776361813	3.943491628	4.360785384	4.495457192	4.320291731	4.894338254	4.470101336
